name	relationship	relationship_value	continent
The Restart Project	Mozfest Speakers	4	Europe
The Rockefelller Foundation	Funders	5	North America
the slower internet	None	1
The Software Sustainability Institute	Mozfest Facilitator	3	Europe
The Tor Project, Inc	Grantees	5	North America
The Trust for Public Land	Open leaders	3	North America
The Urban Farming Guys	Grantees	5	North America
The Womanity Foundation	None	1	Europe
Theatre Action Project	Grantees	5	North America
tibet action institutue	None	1	Asia
Tidelift	IHR Contributors	4	North America
Tirami Ltd	Mozfest Facilitator	3	Europe
Toledo-Lucas County Public Library	Grantees	5	North America
Tribeca Film Institute	Grantees	5	North America
Trinity Animation Inc.	Grantees	5	North America
Trustees of Princeton University	Grantees	5	North America
Turkey Blocks	None	1	Asia
Ubiquity Press	Open leaders	3	Europe
UK Youth	Mozfest Facilitator	3	Europe
United Nations Office for Outer Space Affairs	Open leaders	3	Europe
University of Dundee, Open IoT Studio	Grantees	5	Europe
University of Nottingham, Horizon Digital Economy Research institute	Mozfest Facilitator	3	Europe
Unverzagt von Have	None	1	Europe
Urban Arts	Grantees	5	North America
Urgent Action Fund for Women's Human Rights	None	1	North America
US State Department - Internet Freedom	None	1	North America
Ushahidi	Grantees	5	Africa
ViatoR VR LLC	Grantees	5	North America
Vibe Arts	Grantees	5	North America
Visions of Science Network for Learning	Grantees	5	North America
Visual Thinkery	Mozfest Facilitator	3	Europe
Visualizing Impact	OWF Host Org Applicants	2	North America
Voices for Interactive Choice & Empowerment	None	1	Asia
Vubble	Mozfest Facilitator	3	North America
Wallace Global Fund	None	1	North America
We Are Open Co-op	Mozfest Facilitator	3
Web Networks	None	1	North America
webpack	Grantees	5
WGBH	Open leaders	3	North America
White Market Podcast	Mozfest Facilitator	3	Europe
White Market Podcast	Open leaders	3	Europe
Whose Knowledge	Mozfest Speakers	4	North America
Wikimedia Foundation	Mozfest Facilitator	3	North America
Wikimedia Foundation	Mozfest Speakers	4	North America
Wikimedia Foundation	Open leaders	3	North America
Wikimedia Foundation	OWF Host Org Applicants	2	North America
Wikimedia France	None	1	Europe
Wikimedia Germany	None	1	Europe
WikiPathways	Open leaders	3	North America
Wild Tree Tech	Open leaders	3	Europe
Wildlife Conservation Society	Grantees	5	North America
Willie Mae Rock Camp for Girls	Grantees	5	North America
Willoughby-Eastlake Public Library	Grantees	5	North America
WITNESS	None	1	North America
Women of Uganda Network	None	1	Africa
Women'sNet	None	1	Africa
World Economic Forum (WEF) Internet for All	None	1	Europe
World Intellectual Property Organization	None	1	Europe
World Wide Web Consortium	None	1	North America
World Wide Web Foundation	IHR Contributors	4	North America
World Wide Web Foundation	Mozfest Speakers	4	North America
World Wide Web Foundation	Mozfest Facilitator	3	North America
WorldBrain.io	Open leaders	3	Europe
Youth Empowering Parents	Grantees	5	North America
YWCA Toronto	Grantees	5	North America
Zenzeleni Networks	None	1	Africa
