name	relationship	relationship_value	continent
comexpo cyber security	Open leaders	3	Asia
Commento	Grantees	5
Commission on Science and Technology for Development (CSTD)	None	1	Europe
Common Cause Educational Foundation	Grantees	5	North America
Common Sense Media	None	1	North America
Communia Association	Mozfest Facilitator	3	Europe
Computer Aid International	None	1	Europe
New York City Department of Education	Open leaders	3	North America
Conservation International	Open leaders	3	North America
consumer reports	None	1	North America
Consumers Union	Open leaders	3	North America
Cooperativa Sulá Batsú	None	1	North America
Corporación Andina de Fomento (CAF)	Mozfest Facilitator	3	South America
Covenant University Bioinformatics Research Group	Mozfest Facilitator	3	Africa
Crafts Council	Mozfest Facilitator	3	Europe
Craig Newmark Philanthropies	Funders	5	North America
Creative Commons	Grantees	5	North America
Creative Commons	Mozfest Speakers	4	North America
credibility coalition	IHR Contributors	4	North America
Crowd2Map Tanzania	Mozfest Facilitator	3
Crowd2Map Tanzania	Open leaders	3
CryptoHarlem	Mozfest Speakers	4	North America
cryptoparty, world	None	1
Cryptorave	Open leaders	3	South America
CTuning foundation	Mozfest Facilitator	3	Europe
CUNY School of Professional Studies Foundation	Grantees	5	North America
CyFy	None	1	Asia
Dalai Lama Center for Ethics and Transformative Values at MIT	Open leaders	3	North America
data & society	OWF Host Org Applicants	2	North America
David Thibodaux STEM Magnet Academy	Grantees	5	North America
DefCon	None	1	North America
Dejusticia (Center for the Study of Law, Justice and Society/Centro de Estudios de Derecho, Justicia y Sociedad)	OWF Host Org Applicants	2	South America
Demand Progress	Grantees	5	North America
Demand Progress	Mozfest Facilitator	3	North America
Democracy Fund	Funders	5	North America
Derechos Digitales	Mozfest Speakers	4	South America
Derechos Digitales	OWF Host Org Applicants	2	South America
Derechos Digitales	Grantees	5	South America
designswarm	Mozfest Facilitator	3	Europe
Detroit Community Technology Project	Open leaders	3	North America
Detroit Community Technology Project	Mozfest Facilitator	3	North America
Deutsche Gesellschaft für Internationale Zusammenarbeit	None	1	Europe
Digital Asia Hub	IHR Contributors	4	Asia
Digital Citizen Summit	None	1
Digital Empowerment Foundation (DEF)	None	1	Asia
Digital Freedom Fund	None	1	Europe
Digital Grassroots	Open leaders	3
Digital Opportunity Trust	Grantees	5	North America
Digital Opportunity Trust	OWF Host Org Applicants	2	North America
digital opportunity trust, kenya	None	1	Africa
Digital Rights Foundation Pakistan	Mozfest Speakers	4	Asia
Digital Rights Watch	OWF Host Org Applicants	2	Oceania
Digital Security Exchange	Grantees	5	North America
Digital Society of Zimbabwe	OWF Host Org Applicants	2
Digitale Gesellschaft	None	1	Europe
DigitalMe	None	1	Europe
diplo foundation through their internet governance courses	None	1	Europe
Discourse	Grantees	5
