relationship	name	website	twitter	city	country	continent	lat	lon	relationship_value
Open leaders	Dream Touch for All	http://en.dreamtouchforall.org/		Seoul	South Korea	Asia	37.58333333	127	4
Open leaders	DuraSpace	http://duraspace.org/	duraspace	Ithaca	United States of America	North America	42.44333333	-76.5	4
None	Dutch Ministry of Foreign Affairs	https://www.government.nl/ministries/ministry-of-foreign-affairs	DutchMFA	Hague	United States of America	North America	46.02833333	-99.99861111	1
Grantees	E4 Youth	http://e4youth.org/	e4youth	Austin	United States of America	North America	30.3	-97.73333333	5
Mozfest Facilitator	École polytechnique fédérale de Lausanne	http://www.epfl.ch/	epfl_en	Lausanne	Switzerland	Europe	46.53333333	6.633333333	4
IHR Contributors	Editacuja & Appiario	https://www.f6s.com/editacujaappiario	Appiario	São Paulo	Brazil	South America	-23.55039444	-46.63394722	4
Grantees	Educational Video Center	https://evc.org/	E_V_C_	New York City	United States of America	North America	40.67	-73.94	5
Open leaders	Educational Video Center	https://evc.org/	E_V_C_	New York City	United States of America	North America	40.67	-73.94	4
Mozfest Facilitator	Educators Cooperative	https://educators.coop/		New York City	United States of America	North America	40.67	-73.94	4
Grantees	Eduity, LLC	https://blog.eduity.net/	eduitynet	Chattanooga	United States of America	North America	35.04555556	-85.26722222	5
None	Electronic Frontier Finland	https://effi.org/	Effi_ry	Helsinki	Finland	Europe	60.17333333	24.94861111	1
Grantees	Electronic Frontier Foundation	https://www.eff.org/	EFF	San Francisco	United States of America	North America	37.766667	-122.433333	5
None	Electronic Frontier Foundation	https://www.eff.org/	EFF	San Francisco	United States of America	North America	37.766667	-122.433333	1
None	Electronic Frontier Foundation	https://eff.org	EFF	San Francisco	United States of America	North America	37.766667	-122.433333	1
None	Electronic Information for Libraries (EIFL)	http://www.eifl.net/	EIFLnet	Vilnius	Lithuania	Europe	54.68333333	25.28333333	1
None	electronic privacy information center (epic)	https://www.epic.org/	EPICprivacy	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Mozfest Facilitator	eLife	http://elifesciences.org/	elife	Cambridge	United States of America	North America	42.375	-71.10611111	4
Mozfest Facilitator	Emojination	http://www.emojination.org/							4
Open leaders	Endangered Data Week	http://endangereddataweek.org/	EndangeredData						4
Grantees	EngageMedia	http://engagemedia.org	EngageMedia	Melbourne	Australia	Oceania	-37.82055556	144.9613889	5
None	EngageMedia	http://engagemedia.org	EngageMedia	Melbourne	Australia	Oceania	-37.82055556	144.9613889	1
None	engine room	https://www.theengineroom.org/	EngnRoom						1
None	enterprise center chattanooga	https://www.theenterprisectr.org/	thenterprisectr	Chattanooga	United States of America	North America	35.04555556	-85.26722222	1
Mozfest Facilitator	Epicenter.works	http://epicenter.works	epicenter_works	Vienna	Austria	Europe	48.20833	16.373064	4
None	Epicenter.works	http://epicenter.works	epicenter_works	Vienna	Austria	Europe	48.20833	16.373064	1
OWF Host Org Applicants	eQualit.ie	https://equalit.ie/	eQualitie	Montreal	Canada	North America	45.508056	-73.555	3
None	eQualit.ie	https://equalit.ie/	eQualitie	Montreal	Canada	North America	45.508056	-73.555	1
OWF Host Org Applicants	Equality Labs	https://www.equalitylabs.org/	EqualityLabs						3
Grantees	ETER || a free/libre air-quality monitor for education & research	https://www.eter-project.com/							5
None	European Bureau of Library, Information and Documentation Associations	http://www.eblida.org		The Hague	Netherlands	Europe	52.07667	4.29861	1
None	European Consumers' Bureau	http://www.beuc.eu/		Brussels	Belgium	Europe	50.8467	4.3547	1
None	European Digital Media Association (EDiMA)	http://edima-eu.org/	edima_eu	Brussels	Belgium	Europe	50.8467	4.3547	1
Grantees	European Digital Rights	https://edri.org/	edri	Brussels	Belgium	Europe	50.8467	4.3547	5
Mozfest Facilitator	European Digital Rights	https://edri.org/	edri	Brussels	Belgium	Europe	50.8467	4.3547	4
None	European Digital Rights	https://edri.org/	edri	Brussels	Belgium	Europe	50.8467	4.3547	1
Open leaders	European Digital Rights	https://edri.org/	edri	Brussels	Belgium	Europe	50.8467	4.3547	4
OWF Host Org Applicants	European Digital Rights	https://edri.org/	edri	Brussels	Belgium	Europe	50.8467	4.3547	3
Mozfest Facilitator	Exa Foundation	https://courses.exa.foundation/	exafoundation	Bradford	United Kingdom	Europe	53.794	-1.751	4
Open leaders	Explo	https://www.explo.org/	ExploLive	Norwood	United States of America	North America	38.2519	-85.6125	4
Mozfest Facilitator	explore science	http://www.nisenet.org/explore-science	nisenet	Ithaca	United States of America	North America	42.44333333	-76.5	4
Grantees	EyeBeam	https://www.eyebeam.org/	eyebeamnyc	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Facilitator	EyeBeam	https://www.eyebeam.org/	eyebeamnyc	New York City	United States of America	North America	40.67	-73.94	4
OWF Host Org Applicants	EyeBeam	https://www.eyebeam.org/	eyebeamnyc	New York City	United States of America	North America	40.67	-73.94	3
Mozfest Facilitator	eyeo GmbH	https://eyeo.com/	eyeo	Cologne	Germany	Europe	50.94222222	6.957777778	4
None	f**koffgoogle.de	https://fuckoffgoogle.de/		Berlin	Germany	Europe	52.51666667	13.38333333	1
None	FabLabs (Netherlands)	http://fablab.waag.org/	fablab	Amsterdam	Netherlands	Europe	52.38333333	4.9	1
Open leaders	Facing History and Ourselves	https://www.facinghistory.org/	facinghistory	Brookline	United States of America	North America	42.33166667	-71.12166667	4
None	Fantsuam Foundation	http://www.fantsuam.org/	fantsuam	Kafanchan	Nigeria	Africa	9.56666667	8.3	1
Mozfest Facilitator	Fathom Beyond	http://fathomlabs.io/beyond/	fathombeyond	Masai Mara	Kenya	Africa	-1.49	35.14388889	4
OWF Host Org Applicants	FEMNET - African Women's Development and Communication Network	http://femnet.org/	femnetprog	Nairobi	Kenya	Africa	-1.283333333	36.81666667	3
Grantees	Fight for the Future	https://www.fightforthefuture.org/	fightfortheftr						5
None	Fight for the Future	https://www.fightforthefuture.org/	fightfortheftr						1
OWF Host Org Applicants	Fight for the Future	https://www.fightforthefuture.org/	fightfortheftr						3
Open leaders	Fit Open	http://fitopen.org/about.html							4
Mozfest Facilitator	Flattr (eyeo)	https://flattr.com/	flattr	Austin	United States of America	North America	30.3	-97.73333333	4
Funders	Ford Foundation	http://www.fordfoundation.org	FordFoundation	New York City	United States of America	North America	40.67	-73.94	5
None	Ford Foundation	http://www.fordfoundation.org	FordFoundation	New York City	United States of America	North America	40.67	-73.94	1
OWF Host Org Applicants	Forum of Incident Response and Security Teams (FIRST)	https://www.first.org/	FIRSTdotOrg	Morrisville	United States of America	North America	37.4808	-93.4272	3
None	Foundation for a Just Society	https://www.fjs.org/	fjs	New York City	United States of America	North America	40.67	-73.94	1
None	Foundation for Media Alternatives	http://www.fma.ph	FMA_PH	Quezon City	Philippines	Asia	14.63333333	121.0333333	1
Open leaders	Foundation For Public Code	http://publiccode.net/	publiccodenet						4
OWF Host Org Applicants	Framasoft	http://framasoft.net/	framasoft						3
Mozfest Facilitator	Free Press	http://freepress.net	freepress	Florence	United States of America	North America	42.33555556	-72.67166667	4
None	Free Press	http://freepress.net	freepress	Florence	United States of America	North America	42.33555556	-72.67166667	1
None	Free Software Foundation	https://fsf.org/	fsf	Boston	United States of America	North America	42.35777778	-71.06166667	1
OWF Host Org Applicants	Free Software Foundation Europe	https://www.fsfe.org	fsfe	Berlin	Germany	Europe	52.51666667	13.38333333	3
None	Freedom & Roam Uganda	http://faruganda.org/	Far_Uganda	Kampala	Uganda	Africa	0.3136111111	32.58111111	1
IHR Contributors	Freedom House	http://www.freedomhouse.org/	FreedomHouseDC	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Mozfest Facilitator	Freedom of the Press Foundation	https://freedom.press/	FreedomofPress	San Francisco	United States of America	North America	37.766667	-122.433333	4
None	Freedom of the Press Foundation	https://freedom.press/	FreedomofPress	San Francisco	United States of America	North America	37.766667	-122.433333	1
OWF Host Org Applicants	Freedom of the Press Foundation	https://freedom.press/	FreedomofPress	San Francisco	United States of America	North America	37.766667	-122.433333	3
None	Freedom Online Coalition (FOC)	https://freedomonlinecoalition.com/	FO_Coalition	London	United Kingdom	Europe	51.50722222	-0.1275	1
None	FRIDA The Young Feminist Fund	http://youngfeministfund.org/	FRIDAfund						1
Mozfest Facilitator	Full Fact	https://fullfact.org/	fullfact	London	United Kingdom	Europe	51.50722222	-0.1275	4
Mozfest Speakers	Full Frontal with Samantha Bee	http://www.tbs.com/shows/full-frontal-with-samantha-bee.html	FullFrontalSamB	New York City	United States of America	North America	40.67	-73.94	4
Grantees	Full Stack Toronto	http://2017.fsto.co/	fullstackto	Toronto	Canada	North America	43.7	-79.4	5
None	Fundación Acceso	http://acceso.or.cr/	TIC_INAMU	Mercedes	Costa Rica	North America			1
OWF Host Org Applicants	Fundación Ciudadano Inteligente	https://en.ciudadanointeligente.org/	ciudadanoi	Santiago	Chile	South America	-33.45	-70.66666667	3
None	Fundación Escuela Latinoamericana de Redes (EsLaRed)	http://www.eslared.org.ve	eslaredcisco	Mérida	Venezuela	South America	8.583333333	-71.13333333	1
None	Fundación Karisma	https://karisma.org.co/	Karisma	Bogotá	Colombia	South America	4.598888889	-74.08083333	1
OWF Host Org Applicants	Fundación Medialab Quito	http://www.medialabuio.org/	MediaLabUIO	Quito	Ecuador	South America	-0.2186111111	-78.50972222	3
Mozfest Facilitator	FutureLearn	https://www.futurelearn.com	futurelearn	London	United Kingdom	Europe	51.50722222	-0.1275	4
Grantees	Genesee Intermediate School District	http://www.geneseeisd.org/	GeneseeISD	Flint	United States of America	North America	43.01	-83.69	5
None	Gesellschaft für Freiheitsrechte	https://freiheitsrechte.org/	freiheitsrechte	Berlin	Germany	Europe	52.51666667	13.38333333	1
None	Girls Who Code	http://girlswhocode.com/	girlswhocode	New York City	United States of America	North America	40.67	-73.94	1
Mozfest Facilitator	Girls2Geeks	https://girls2geeks.com/	Girls2Geeks						4
Open leaders	GirlsGetGeeky	https://github.com/cesswairimu/GirlsGetGeeky							4
IHR Contributors	GitHub	https://github.com	GitHub	San Francisco	United States of America	North America	37.766667	-122.433333	4
Mozfest Facilitator	GitHub	https://github.com	GitHub	San Francisco	United States of America	North America	37.766667	-122.433333	4
None	GitHub	https://github.com	GitHub	San Francisco	United States of America	North America	37.766667	-122.433333	1
Mozfest Facilitator	Give1ProjectGambia	http://www.give1projectgambia.org/		The Gambia	The Gambia	Africa	13.5	-15.5	4
Grantees	Global Action Project	https://www.global-action.org/	gapyouthmedia	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Facilitator	Global Action Project	https://www.global-action.org/	gapyouthmedia	New York City	United States of America	North America	40.67	-73.94	4
None	Global Connect Initiative (GCI)	https://share.america.gov/globalconnect/		New York City	United States of America	North America	40.67	-73.94	1
None	Global Forum on Cyber Expertise (GFCE)	https://www.thegfce.com/		The Hague	Netherlands	Europe	52.07667	4.29861	1
Grantees	Global Innovation Gathering (GIG)	https://www.globalinnovationgathering.org/	weareGIG	Berlin	Germany	Europe	52.51666667	13.38333333	5
None	Global Innovation Gathering (GIG)	https://www.globalinnovationgathering.org/	weareGIG	Berlin	Germany	Europe	52.51666667	13.38333333	1
Grantees	Global Kids	http://www.globalkids.org/?view=mobile	globalkids	New York City	United States of America	North America	40.67	-73.94	5
IHR Contributors	Global Voices Online	https://globalvoices.org/	globalvoices	Amsterdam	Netherlands	Europe	52.38333333	4.9	4
Mozfest Facilitator	Global Voices Online	https://globalvoices.org/	globalvoices	Amsterdam	Netherlands	Europe	52.38333333	4.9	4
Grantees	Godot	https://godotengine.org/	godotengine						5
None	Google Ideas	https://jigsaw.google.com/	jigsawteam	New York City	United States of America	North America	40.67	-73.94	1
Mozfest Facilitator	goTenna	https://www.gotenna.com/	gotenna	New York City	United States of America	North America	40.67	-73.94	4
OWF Host Org Applicants	Gray Area Foundation for the Arts, Inc.	https://grayarea.org/	grayareaorg	San Francisco	United States of America	North America	37.766667	-122.433333	3
OWF Host Org Applicants	GreatFire.org	https://en.greatfire.org/	GreatFireChina						3
None	GreenNet	http://www.gn.apc.org	GreenNetISP	London	United Kingdom	Europe	51.50722222	-0.1275	1
None	Guifi.net	http://guifi.net/	guifinet	Gurb	Catalonia	Europe	41.9575	2.233888889	1
Open leaders	HACKccessibility	https://github.com/jibe-b/HACKccessibility-expose-the-documentation							4
Grantees	Hacks/Hackers	https://hackshackers.com/	HacksHackers						5
Open leaders	Hacks/Hackers	https://hackshackers.com/	HacksHackers						4
Grantees	Hamilton County Department of Education	http://www.hcde.org/	hamcoschools	Chattanooga	United States of America	North America	35.04555556	-85.26722222	5
Grantees	HarfBuzz	https://www.freedesktop.org/wiki/Software/HarfBuzz/							5
Mozfest Facilitator	Helix Arts	https://www.helixarts.com/	helixarts	Sunderland	United Kingdom	Europe	54.9	-1.380277778	4
OWF Host Org Applicants	Hiperderecho	https://hiperderecho.org	hiperderecho	Lima	Peru	South America	-12.04583333	-77.03055556	3
None	Hivos	https://www.hivos.org/	hivos	The Hague	Netherlands	Europe	52.07667	4.29861	1
Mozfest Speakers	Holla Back	http://www.ihollaback.org	ihollaback	New York City	United States of America	North America	40.67	-73.94	4
OWF Host Org Applicants	Holla Back	http://www.ihollaback.org	ihollaback	New York City	United States of America	North America	40.67	-73.94	3
Mozfest Facilitator	Housing Families First	http://www.housingfamiliesfirst.org/	HousingFirstRVA	Henrico City	United States of America	North America			4
Mozfest Facilitator	Human Computation Institute	http://humancomputation.org/	hcinst	Ithaca	United States of America	North America	42.44333333	-76.5	4
OWF Host Org Applicants	Human Rights Watch	http://www.hrw.org	hrw	New York City	United States of America	North America	40.67	-73.94	3
Mozfest Facilitator	HumanityX	https://www.humanityx.nl/	c4innovation	The Hague	Netherlands	Europe	52.07667	4.29861	4
Mozfest Facilitator	Icahn Institute at Mount Sinai	http://icahn.mssm.edu/research/ipm	icahnmountsinai	New York City	United States of America	North America	40.67	-73.94	4
None	ICANN	https://www.icann.org/	icann	Los Angeles	United States of America	North America	34.05	-118.25	1
OWF Host Org Applicants	Information Society Project at Yale Law School	https://law.yale.edu/isp	yaleisp	New Haven	United States of America	North America	41.30833333	-72.925	3
Open leaders	Institute for Educational Leadership	http://iel.org/	IELconnects	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Open leaders	Institute for Technology and Society of Rio de Janeiro	https://itsrio.org/en/en-home/	itsriodejaneiro	Rio de Janeiro	Brazil	South America	-22.90833333	-43.19638889	4
Funders	Institute of Museum and Library Services	https://www.imls.gov/	us_imls	Washington, D.C.	United States of America	North America	38.895	-77.03666667	5
None	Institute of Museum and Library Services	https://www.imls.gov/	us_imls	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
Open leaders	Institute of Museum and Library Services	https://www.imls.gov/	us_imls	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
None	Instituto DEMOS	http://www.guatemalademos.org			Guatemala	North America			1
Grantees	Integrated Arts								5
Mozfest Facilitator	InterMine	http://intermine.org	intermineorg	Cambridge	United States of America	North America	42.375	-71.10611111	4
None	International Federation of Library Associations and Institutions	http://www.ifla.org	IFLA	The Hague	Netherlands	Europe	52.07667	4.29861	1
None	International Freedom of Expression Exchange	http://www.ifex.org/	IFEX	Toronto	Canada	North America	43.7	-79.4	1
None	International Media Support (IMS)	https://www.mediasupport.org/	forfreemedia	Copenhagen	Denmark	Europe	55.67611111	12.56888889	1
Grantees	International Research & Exchanges Board	http://www.irex.org	irexintl	Washington, D.C.	United States of America	North America	38.895	-77.03666667	5
None	International Telecommunication Union	http://www.itu.int	itu	Geneva	Switzerland	Europe	46.2	6.15	1
None	Internet & Jurisdiction Policy Network	https://www.internetjurisdiction.net/	IJurisdiction	Paris	France	Europe	48.85657778	2.351827778	1
Mozfest Facilitator	Internet Archive	https://archive.org/	internetarchive	San Francisco	United States of America	North America	37.766667	-122.433333	4
None	Internet Archive	https://archive.org/	internetarchive	San Francisco	United States of America	North America	37.766667	-122.433333	1
None	internet education foundation	http://www.neted.org/		Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
None	Internet Engineering Task Force	https://www.ietf.org/		Fremont	United States of America	North America	37.54305556	-121.9827778	1
None	Internet Freedom Festival (IFF)	https://internetfreedomfestival.org	InternetFF	Valencia	Spain	Europe	39.46666667	-0.375	1
OWF Host Org Applicants	Internet Freedom Festival (IFF)	https://internetfreedomfestival.org/	InternetFF	Valencia	Spain	Europe	39.46666667	-0.375	3
OWF Host Org Applicants	Internet Infrastructure Coalition	https://www.i2coalition.com/	i2coalition	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
IHR Contributors	Internet Policy Review (HIIG)	https://policyreview.info/	PolicyR	Berlin	Germany	Europe	52.51666667	13.38333333	4
None	Internet Society	https://www.internetsociety.org/	internetsociety	Reston	United States of America	North America	38.95444444	-77.34638889	1
OWF Host Org Applicants	INTERNETLAB	http://www.internetlab.org.br/en/	internetlabbr	São Paulo	Brazil	South America	-23.55039444	-46.63394722	3
None	Internews	http://www.internews.org/	Internews	Arcata	United States of America	North America	40.86638889	-124.0827778	1
None	Intervozes	http://intervozes.org.br/	intervozes	São Paulo	Brazil	South America	-23.55039444	-46.63394722	1
Mozfest Facilitator	Invisible Flock	invisibleflock.com	invisibleflock	Leeds	United Kingdom	Europe	53.79972222	-1.549166667	4
Mozfest Facilitator	Iridescent	http://iridescentlearning.org/	iridescentla	Los Angeles	United States of America	North America	34.05	-118.25	4
None	iRights.Lab	https://irights-lab.de/en/	iRightslab	Berlin	Germany	Europe	52.51666667	13.38333333	1
None	ITS Rio	https://itsrio.org/en/en-home/	itsriodejaneiro	Rio de Janeiro	Brazil	South America	-22.90833333	-43.19638889	1
None	Japan Computer Access for Empowerment (JCAFE)	http://www.jcafe.net/english/		Tokyo	Japan	Asia	35.68	139.77	1
Open leaders	Jaume Bofill Foundation	http://www.fbofill.cat/	FundacioBofill	Barcelona	Spain	Europe	41.3825	2.176944444	4
None	JCA-NET	http://www.jca.apc.org/		Tokyo	Japan	Asia	35.68	139.77	1
None	Jimmy Wales Foundation	http://jimmywalesfoundation.org/	JWalesF	London	United Kingdom	Europe	51.50722222	-0.1275	1
Funders	John D. and Catherine T. MacArthur Foundation	https://www.macfound.org/	macfound	Chicago	United States of America	North America	41.9	-87.65	5
Open leaders	John F. Kennedy School of Government	http://www.hks.harvard.edu	kennedy_school	Cambridge	United States of America	North America	42.375	-71.10611111	4
Funders	John S. and James L. Knight Foundation	http://knightfoundation.org/	knightfdn	Miami	United States of America	North America	25.78333333	-80.21666667	5
None	John S. and James L. Knight Foundation	http://knightfoundation.org/	knightfdn	Miami	United States of America	North America	25.78333333	-80.21666667	1
Mozfest Facilitator	Johns Hopkins Sibley Innovation Hub	https://www.sibleyhub.com	SibleyHub	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Mozfest Facilitator	Journal of Open Hardware	https://openhardware.metajnl.com/	journalopenhw						4
Open leaders	Journal of Open Hardware	https://openhardware.metajnl.com/	journalopenhw						4
Open leaders	JSLadies	http://jsladies.org/#/							4
None	KC Digital Drive	www.kcdigitaldrive.org	kcdigitaldrive	Kansas City	United States of America	North America	39.05	-94.58333333	1
Mozfest Facilitator	KC Digital Drive	www.kcdigitaldrive.org	kcdigitaldrive	Kansas City	United States of America	North America	39.05	-94.58333333	4
Grantees	KC Social Innovation Center	www.kcsocialinnovation.org	socialimpactkc	Kansas City	United States of America	North America	39.05	-94.58333333	5
Grantees	Kea	https://www.isc.org/kea	iscdotorg	Redwood City	United States of America	North America	37.48277778	-122.2361111	5
None	Kéfir	https://kefir.red			Mexico	North America			1
None	Kennisland	https://www.kl.nl/en/	kennisland	Amsterdam	Netherlands	Europe	52.38333333	4.9	1
OWF Host Org Applicants	Kenya ICT Action Network (KICTANet)	https://www.kictanet.or.ke	KICTANet	Nairobi	Kenya	Africa	-1.283333333	36.81666667	3
None	Kenya ICT Action Network (KICTANet)	https://www.kictanet.or.ke	KICTANet	Nairobi	Kenya	Africa	-1.283333333	36.81666667	1
Open leaders	Kenyan Open Data Initiative	http://icta.go.ke/open-data/	ICTAuthorityKE	Nairobi	Kenya	Africa	-1.283333333	36.81666667	4
None	KICTANet	https://www.kictanet.or.ke/	KICTANet	Nairobi	Kenya	Africa	-1.283333333	36.81666667	1
Mozfest Facilitator	Kirklees Library	https://www.kirklees.gov.uk/beta/leisure-and-culture.aspx#libraries	kirkleeslibrary	Kirklees Way	United Kingdom	Europe	53.825	-1.429	4
None	Korean Progressive Network Jinbonet	http://www.jinbo.net/	jinbonet	Seoul	South Korea	Asia	37.58333333	127	1
None	La Quadrature du Net	https://laquadrature.net	laquadrature	Paris	France	Europe	48.85657778	2.351827778	1
None	LaborNet	http://www.labornet.org		San Francisco	United States of America	North America	37.766667	-122.433333	1
Grantees	Lafayette Science Museum Foundation	www.lafayettesciencemuseum.org	lafscimuseum	LaFayette	United States of America	North America	32.898572	-85.400784	5
Mozfest Facilitator	LakeHub	lakehub.co.ke	LakeHub	Kisumu Rural Constituency	Kenya	Africa			4
None	LakeHub	lakehub.co.ke	LakeHub	Kisumu Rural Constituency	Kenya	Africa			1
Open leaders	LakeHub	lakehub.co.ke	LakeHub	Kisumu Rural Constituency	Kenya	Africa			4
Grantees	Lane Arts Council	lanearts.org	LaneArtsCouncil	Eugene	United States of America	North America	44.05194444	-123.0855556	5
Grantees	Lane Education Service District	www.lesd.k12.or.us	4jschools	Eugene	United States of America	North America	44.05194444	-123.0855556	5
Grantees	Latinitas Inc.	http://latinitasmagazine.org/	latinitas	Austin	United States of America	North America	30.3	-97.73333333	5
Grantees	LEAP Encryption Access Project	https://leap.se/	leapcode						5
Mozfest Facilitator	Learn All the Time Network	learnallthetime.org	LATTNetwork	Austin	United States of America	North America	30.3	-97.73333333	4
Funders	Leona M. and Harry B. Helmsley Charitable Trust	http://www.helmsleytrust.org/	helmsleytrust	New York City	United States of America	North America	40.67	-73.94	5
None	Leona M. and Harry B. Helmsley Charitable Trust	http://www.helmsleytrust.org/	helmsleytrust	New York City	United States of America	North America	40.67	-73.94	1
Grantees	libav/rust-av	https://github.com/rust-av/flavors							5
Grantees	libjpeg-turbo	http://www.libjpeg-turbo.org/							5
IHR Contributors	Libraries.io	https://libraries.io/	librariesio						4
Grantees	Licensed to Learn Inc.	https://www.l2l.ca/	Licensed2Learn	Toronto	Canada	North America	43.7	-79.4	5
None	Linux Foundation	https://www.linuxfoundation.org/	Linux_Fdtn_JP	San Francisco	United States of America	North America	37.766667	-122.433333	1
Mozfest Facilitator	Linuxing In London	https://www.meetup.com/Linuxing-In-London/	linuxinginldn	London	United Kingdom	Europe	51.50722222	-0.1275	4
Grantees	LLVM	http://llvm.org							5
None	localization lab	https://www.localizationlab.org/	L10nLab						1
Open leaders	Loup Design & Innovation	https://www.loup.design/	listening_loup	Toronto	Canada	North America	43.7	-79.4	4
None	lucy parsons labs	https://lucyparsonslabs.com/	lucyparsonslabs	Chicago	United States of America	North America	41.9	-87.65	1
IHR Contributors	M-Lab	https://www.measurementlab.net/	measurementlab	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
Open leaders	MaidSafe	https://www.maidsafe.net/	maidsafe						4
Mozfest Facilitator	Majal.org	Majal.org	majalorg						4
OWF Host Org Applicants	Majal.org	Majal.org	majalorg						3
Mozfest Facilitator	Make Works Ltd	https://make.works/	thisismakeworks	Edinburgh	United Kingdom	Europe	55.95	-3.198888889	4
Open leaders	Makered.io	http://makered.io/							4
None	Mama Cash	http://www.mamacash.org/	mamacash	Amsterdam	Netherlands	Europe	52.38333333	4.9	1
Open leaders	Massachusetts Digital Services department	https://www.mass.gov/orgs/massit-digital-services	massgov	Boston	United States of America	North America	42.35777778	-71.06166667	4
None	Mastodon	https://joinmastodon.org	MastodonProject						1
None	May First/People Link	https://mayfirst.org/		New York City	United States of America	North America	40.67	-73.94	1
Grantees	MedCognition, Inc.	https://www.medcognition.com/	MedCognition	San Antonio	United States of America	North America	29.42861111	-98.49333333	5
Mozfest Facilitator	Media Democracy Fund	http://mediademocracyfund.org/	MedDemFund	Washington, D.C.	United States of America	North America	38.895	-77.03666667	4
None	Media Democracy Fund	http://mediademocracyfund.org/	MedDemFund	Washington, D.C.	United States of America	North America	38.895	-77.03666667	1
OWF Host Org Applicants	Media Democracy Fund	http://mediademocracyfund.org/	MedDemFund	Washington, D.C.	United States of America	North America	38.895	-77.03666667	3
None	Media Legal Defence Initiative	https://www.mediadefence.org/	mediadefence	London	United Kingdom	Europe	51.50722222	-0.1275	1
None	Media Matters for Democracy	http://mediamatters.pk	mmfd_pak	Islamabad	Pakistan	Asia	33.71666667	73.06666667	1
Mozfest Facilitator	Media Mobilizing Project	https://mediamobilizing.org	mediamobilizing	Philadelphia	United States of America	North America	39.95305556	-75.16333333	4
OWF Host Org Applicants	Media Mobilizing Project	https://mediamobilizing.org	mediamobilizing	Philadelphia	United States of America	North America	39.95305556	-75.16333333	3
OWF Host Org Applicants	Meedan	http://meedan.com/en/	meedan	San Francisco	United States of America	North America	37.766667	-122.433333	3
IHR Contributors	Meedan, Credibility Coalition	https://credibilitycoalition.org/	credcoalition	San Francisco	United States of America	North America	37.766667	-122.433333	4
Grantees	Mercurial	https://www.mercurial-scm.org							5
Mozfest Facilitator	Met Office Informatics Lab	http://www.informaticslab.co.uk/	informatics_lab	Exeter	United Kingdom	Europe	50.72153889	-3.533108333	4
None	Metamorphosis Foundation	http://www.metamorphosis.org.mk	fmeta	Skopje	Republic of Macedonia	Europe	41.98333333	21.43333333	1
Grantees	Metropolitan New York Library Council	https://www.metro.org	mnylc	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Facilitator	Metropolitan New York Library Council	https://metro.org/	mnylc	New York City	United States of America	North America	40.67	-73.94	4
Funders	MIT Media Lab	http://www.media.mit.edu	medialab	Cambridge	United States of America	North America	42.375	-71.10611111	5
Grantees	MIT Media Lab	http://www.media.mit.edu	medialab	Cambridge	United States of America	North America	42.375	-71.10611111	5
Open leaders	MIT Media Lab	http://www.media.mit.edu	medialab	Cambridge	United States of America	North America	42.375	-71.10611111	4
Grantees	mod_md	https://github.com/icing/mod_md							5
Grantees	Modern Poland Foundation	https://nowoczesnapolska.org.pl/	polish_fndtn	Warsaw	Poland	Europe	52.21666667	21.03333333	5
Open leaders	MongoDB, Inc.	https://www.mongodb.com/	MongoDB	Palo Alto	United States of America	North America	37.42916667	-122.1380556	4
Grantees	Motion Media Arts Center	https://austinfilmschool.org/	austinsof	Austin	United States of America	North America	30.3	-97.73333333	5
None	Motoon	https://www.motoon.org/	Not on Twitter	Cairo	Egypt	Africa	30.05611111	31.23944444	1
Grantees	MOUSE Inc.	https://mouse.org/	mouse_org	New York City	United States of America	North America	40.67	-73.94	5
Mozfest Speakers	Mozilla	https://www.mozilla.org/	mozilla	San Francisco	United States of America	North America	37.766667	-122.433333	4
None	Mozilla	https://www.mozilla.org/	mozilla	San Francisco	United States of America	North America	37.766667	-122.433333	1
OWF Host Org Applicants	MPower Change	https://mpowerchange.org/	mpower_change	New York City	United States of America	North America	40.67	-73.94	3
Mozfest Facilitator	Mu Sigma Inc.	http://www.mu-sigma.com	musigmainc	Northbrook Court	United States of America	North America	42.1503	-87.8169	4
Grantees	Multnomah County Library	http://www.multcolib.org/	multcolib	Multnomah County Library	United States of America	North America	45.5189	-122.683	5
Mozfest Facilitator	Multnomah County Library	http://www.multcolib.org/	multcolib	Multnomah County Library	United States of America	North America	45.5189	-122.683	4
Grantees	Museum of Science and Industry	https://www.msichicago.org/	msichicago	Chicago	United States of America	North America	41.9	-87.65	5
OWF Host Org Applicants	Muslim Advocates	https://www.muslimadvocates.org/	MuslimAdvocates	Oakland	United States of America	North America	37.8	-122.25	3
None	Myanmar ICT for Development Organization	http://www.myanmarido.org	Not on Twitter		Myanmar	Asia			1
OWF Host Org Applicants	namibian youth for community upliftmend								3
